Name;Version;Company Name
Microsoft.SqlServer.Management.XEventEnum.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.PolicyEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.PolicyEnum.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.RegSvrEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.RegSvrEnum.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.ServiceBrokerEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.ServiceBrokerEnum.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.Smo.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Smo.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.SmoExtended.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.SmoExtended.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.SqlClrProvider.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.SqlClrProvider.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.SqlEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.SqlEnum.dll;13.0.14500.10 ((SSMS_Rel).160415-0249);Microsoft Corporation
Microsoft.SqlServer.SqlTDiagM.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
